period,close,eps,ret,periodend
2020-03-01,31687.8537502793,3007.8712320674,9.51522103416203,07-Mar-2020
2020-03-08,34594.325342112,3532.93855845234,10.217972979434,14-Mar-2020
2020-03-15,33659.16188067,3545.18748040558,10.5301757166528,21-Mar-2020
2020-03-22,34375.7553829964,3790.28854565429,11.0684799757143,28-Mar-2020
2020-03-29,31214.7539724796,3175.91156799058,10.2539031418333,04-Apr-2020
2020-04-05,34622.084384254,2704.51401380289,7.800733554789,11-Apr-2020
2020-04-12,33476.079137536,2774.9366929507,8.29712500479591,18-Apr-2020
2020-04-19,34275.9514209299,2868.86101267877,8.38730531467581,25-Apr-2020
2020-04-26,34781.4776002715,3307.59030903134,9.51470513436158,02-May-2020
2020-05-03,35997.1251301475,3010.37512035968,8.39891331694635,09-May-2020
2020-05-10,37035.4761504594,2933.35787486145,7.92857177269696,16-May-2020
2020-05-17,34542.2083630517,2909.9366498207,8.43210868693411,23-May-2020
2020-05-24,34755.2911528363,3038.08237191963,8.74349715346174,30-May-2020
2020-05-31,31799.3938390152,2781.07896645439,8.74223841661361,06-Jun-2020
2020-06-07,31358.5214741725,2484.01007461651,7.92085763492922,13-Jun-2020
2020-06-14,31112.6614918167,2500.14811891124,8.05647956849582,20-Jun-2020
2020-06-21,29652.0671082865,2386.71844255356,8.04725251785331,27-Jun-2020
2020-06-28,31936.5462627658,2914.25307622215,9.08332333578435,04-Jul-2020
2020-07-05,35871.0491699313,3302.36561094056,9.23195776164564,11-Jul-2020
2020-07-12,34626.3747847652,3338.20357148685,9.67911351955845,18-Jul-2020
2020-07-19,33592.2214028817,3590.80829550443,10.6951260793652,25-Jul-2020
2020-07-26,33973.8278745288,3564.73349968383,10.526619013187,01-Aug-2020
2020-08-02,34114.7660468411,3561.07183904792,10.4605031059823,08-Aug-2020
2020-08-09,34069.3139507293,3509.1102285296,10.3117641807492,15-Aug-2020
2020-08-16,33426.7399975011,3612.3241752441,10.8085472987688,22-Aug-2020
2020-08-23,34863.9441158273,3356.04910293935,9.63166888589272,29-Aug-2020
2020-08-30,37045.8212581468,3356.93639030168,9.06898106201628,05-Sep-2020
2020-09-06,35543.2223062016,3352.55334186635,9.45948548240852,12-Sep-2020
2020-09-13,32145.5862179231,3056.73472958931,9.51484379304172,19-Sep-2020
2020-09-20,32507.161969448,2970.60186206145,9.14085185488324,26-Sep-2020
2020-09-27,32491.1405142749,3193.40012502277,9.86150828717866,03-Oct-2020
2020-10-04,31218.0840667932,3005.49439844052,9.6323781194489,10-Oct-2020
2020-10-11,35176.2322942495,3208.19925201403,9.12324946665636,17-Oct-2020
2020-10-18,36324.0420963628,3145.14802987275,8.70358278221069,24-Oct-2020
2020-10-25,38594.029042451,3181.83132103511,8.26574574417569,31-Oct-2020
2020-11-01,38364.9663577519,3023.89520176589,7.88550121182354,07-Nov-2020
2020-11-08,36004.0463837099,3004.3576474263,8.37587944839472,14-Nov-2020
2020-11-15,37248.5725676794,3138.8666622735,8.44039710176142,21-Nov-2020
2020-11-22,38497.6718065858,3173.75800516879,8.24768893277865,28-Nov-2020
2020-11-29,35285.6385083802,2911.16102460502,8.24836264501993,05-Dec-2020
2020-12-06,35786.1967637471,2882.95652884754,8.06702159730102,12-Dec-2020
2020-12-13,39330.588895318,2937.26790599914,7.52356390455734,19-Dec-2020
2020-12-20,33381.4046238763,2589.50195060472,7.75784696807002,26-Dec-2020
2020-12-27,35000.2702292534,2588.6520248837,7.39347595507243,02-Jan-2021
2021-01-03,36728.4884324509,3089.05430431097,8.41349209702102,09-Jan-2021
2021-01-10,38393.5432188367,3007.81236212083,7.83341166375382,16-Jan-2021
2021-01-17,37298.8596883811,3020.24665255778,8.10002623259246,23-Jan-2021
2021-01-24,37961.0973086591,3341.98224475325,8.80288374482243,30-Jan-2021
2021-01-31,40470.435025758,3518.77903335537,8.71752506544743,06-Feb-2021
2021-02-07,42610.3832042634,3456.63789522422,8.12205940773643,13-Feb-2021
2021-02-14,41211.1776290263,3391.06872422158,8.23102600946335,20-Feb-2021
2021-02-21,40071.2278794942,3513.88676450605,8.77657948902491,27-Feb-2021
2021-02-28,38330.1890901539,3250.14571153361,8.47733193564011,06-Mar-2021
2021-03-07,37891.7883233506,3109.00986772263,8.2063694128664,13-Mar-2021
2021-03-14,37909.3011420767,3029.8085568802,7.99278000019923,20-Mar-2021
2021-03-21,37309.5951480607,3118.85554766824,8.36235122666315,27-Mar-2021
2021-03-28,37881.6126987514,2992.87172554684,7.87700457996017,03-Apr-2021
2021-04-04,38306.3619804447,3281.94072777254,8.56747883894846,10-Apr-2021
2021-04-11,41417.419923576,3473.06244945265,8.3950915522312,17-Apr-2021
2021-04-18,48379.572620195,4045.36941276139,8.37617388778324,24-Apr-2021
2021-04-25,46934.6878316384,3903.96118325008,8.31768527799673,01-May-2021
2021-05-02,45792.5148214925,4203.56226203413,9.17972174324729,08-May-2021
2021-05-09,47194.784476388,4081.04812090841,8.64856386507147,15-May-2021
2021-05-16,49343.981226906,4014.03639063849,8.14321554464143,22-May-2021
2021-05-23,48314.0640174649,3893.19097092012,8.05674687604986,29-May-2021
